t,CCO
0.0,-1.69256165818533
11.0,-1.6921413320050385
21.0,-1.6896804363722906
31.0,-1.6904949818698316
41.0,-1.6904058347907973
51.0,-1.6893307409303397
62.0,-1.6913514521900688
72.0,-1.6886704258020409
82.0,-1.6888240501359846
92.0,-1.6893032769754375
102.0,-1.6884095488774118
112.0,-1.6880336933174889
123.0,-1.6863140622053385
133.0,-1.6888659275992945
143.0,-1.6880038064848075
153.0,-1.6855405296006878
163.0,-1.6888918679381468
173.0,-1.6879743752079601
184.0,-1.6838503155257785
194.0,-1.6852798329815761
204.0,-1.686064460683696
214.0,-1.6868029992413156
224.0,-1.6876244650193288
235.0,-1.6885807094943335
245.0,-1.6896261657414073
255.0,-1.690751631884822
265.0,-1.6919565593937145
275.0,-1.691205804291452
285.0,-1.6897177363190332
296.0,-1.688945402850876
306.0,-1.692836771862843
316.0,-1.6917269261980143
326.0,-1.6886723437510354
336.0,-1.6924822840424758
347.0,-1.692034130331218
357.0,-1.692313199651726
367.0,-1.691677097497391
377.0,-1.6910024673054829
387.0,-1.6917320083401353
397.0,-1.6924978116467888
408.0,-1.6905590826110046
418.0,-1.6895741914278175
428.0,-1.6891545156264074
438.0,-1.6903961055353756
448.0,-1.6894922127794205
459.0,-1.6896949598198272
469.0,-1.6864082206532323
479.0,-1.6899034353535183
489.0,-1.6898363839339194
499.0,-1.6882101373265577
510.0,-1.6901916087132605
520.0,-1.6885783365107885
530.0,-1.6899009756770609
540.0,-1.6900195731238206
550.0,-1.6879740555396618
560.0,-1.688757651030282
571.0,-1.6879217172638408
581.0,-1.6886424564035691
591.0,-1.6880952074234383
601.0,-1.6875352800840402
611.0,-1.6894190775424565
622.0,-1.6892512052632003
632.0,-1.6890338347369986
642.0,-1.686447774673064
652.0,-1.6895598659298323
662.0,-1.6897590385810826
672.0,-1.6882533475398331
683.0,-1.6897255384873269
693.0,-1.6890758746242687
703.0,-1.6886842913199744
713.0,-1.6907461336797516
723.0,-1.6880398038943762
734.0,-1.6882702665821976
744.0,-1.6863586038134992
754.0,-1.688333863914071
764.0,-1.6878267642596358
774.0,-1.6855592936434678
785.0,-1.6872033782815186
795.0,-1.687860059006449
805.0,-1.6881887589415887
815.0,-1.6862581444515297
825.0,-1.687953108555092
836.0,-1.6881079751907202
846.0,-1.6890459680384753
856.0,-1.6889478641121305
866.0,-1.6882877058145351
876.0,-1.6891389257050549
886.0,-1.6894175234232884
897.0,-1.689616456132402
