t,CCO
0.0,-1.6822842522824668
10.0,-1.6821954172799003
20.0,-1.6823881585045062
31.0,-1.6814087678083576
41.0,-1.6826625467087286
51.0,-1.68216620914963
61.0,-1.6825834096770333
71.0,-1.6816480840562236
82.0,-1.6822928747217964
92.0,-1.6816676457743283
102.0,-1.6813903817768827
112.0,-1.6820927440571265
122.0,-1.682286300241648
133.0,-1.6815703020723667
143.0,-1.6818317171260455
153.0,-1.6819753026586572
163.0,-1.6815538419667153
173.0,-1.6814570226807315
184.0,-1.6819384686892693
194.0,-1.6820807780860887
204.0,-1.6813300934192987
214.0,-1.681154368611452
225.0,-1.681973141073774
235.0,-1.6808510298533212
245.0,-1.6821486636371215
255.0,-1.681789270465124
265.0,-1.6819328560108273
276.0,-1.6812235398411128
286.0,-1.6817987238451864
296.0,-1.681465848858381
306.0,-1.6813418643249403
316.0,-1.6813809670879425
327.0,-1.68175993991151
337.0,-1.6811105162791407
347.0,-1.6798335635448343
357.0,-1.6821716987454753
367.0,-1.6815027267117444
378.0,-1.681119741668275
388.0,-1.6812871227368518
398.0,-1.6815773715987952
408.0,-1.6811168967226275
418.0,-1.6810426719954807
429.0,-1.6813848596868322
439.0,-1.68182940019154
449.0,-1.6810226073290333
459.0,-1.6801356596153874
469.0,-1.6821638224158604
480.0,-1.680939735692322
490.0,-1.6818482075372831
500.0,-1.6819256177552067
510.0,-1.6814754609017324
520.0,-1.681374951980776
531.0,-1.6814823479623706
541.0,-1.6815514956774291
551.0,-1.6819030133558242
561.0,-1.6812896754571687
571.0,-1.6812423596360486
582.0,-1.6819364482928791
592.0,-1.681888041121298
602.0,-1.6812956242535426
612.0,-1.6805623450479694
622.0,-1.6823085115797634
633.0,-1.6821319805484154
643.0,-1.6815391095327643
653.0,-1.6808129743251894
663.0,-1.6824149152684411
673.0,-1.6820216041068488
684.0,-1.6818331104790845
694.0,-1.6821783935066794
704.0,-1.6821257137528167
714.0,-1.681710459307105
724.0,-1.681905815685041
735.0,-1.6820364551398155
745.0,-1.6823009105700029
755.0,-1.6817255710592962
765.0,-1.6813332129385181
776.0,-1.6824476633406291
786.0,-1.6813991918139668
796.0,-1.682467430012033
806.0,-1.6823143111744654
816.0,-1.6824955434877082
827.0,-1.6817910552160702
837.0,-1.682456351372886
847.0,-1.6823967864779086
857.0,-1.6825720740135295
867.0,-1.6822713963441724
878.0,-1.6827159919823005
888.0,-1.6824779481166254
898.0,-1.6827211651065102
908.0,-1.6827686809193663
919.0,-1.6832131957315735
929.0,-1.6828259362348132
939.0,-1.6818686837952856
949.0,-1.6839088797576434
959.0,-1.6838229528075355
970.0,-1.6831734354893393
980.0,-1.6834614871741356
990.0,-1.6839149894522836
1000.0,-1.6838668876897562
1011.0,-1.6839067556167
1021.0,-1.6844189799762648
1031.0,-1.684384386740728
1041.0,-1.6844059225579784
1051.0,-1.6846021346417825
1062.0,-1.6849305730217814
1072.0,-1.6854600512758557
1082.0,-1.6851111725297185
1092.0,-1.6846863400218874
1103.0,-1.6864117927399107
1113.0,-1.6858538085105133
1123.0,-1.686310436047402
1133.0,-1.6867895661842347
1143.0,-1.6868377199349882
1154.0,-1.6864989784322233
1164.0,-1.6877861158580263
1174.0,-1.6881087784778448
1184.0,-1.68802859409526
1195.0,-1.6884101005917929
1205.0,-1.6885855526386824
1215.0,-1.6889858888011602
1225.0,-1.6895491706321102
1235.0,-1.6894105060166373
1246.0,-1.6903712666869235
1256.0,-1.6900291924418587
1266.0,-1.689788732187843
1276.0,-1.6918034017540304
1286.0,-1.691844903399605
1297.0,-1.691541763476507
1307.0,-1.6924371147406259
1317.0,-1.6924435635059383
1327.0,-1.6931424441836482
1338.0,-1.6932006339797951
1348.0,-1.693971666221243
1358.0,-1.6943743599476597
1368.0,-1.6945655065869658
1378.0,-1.6943867608812972
1389.0,-1.6960963750213858
1399.0,-1.6956545014555569
1409.0,-1.6966978691600312
1419.0,-1.6968475316702478
1430.0,-1.6975791346260163
1440.0,-1.6969853151876908
1450.0,-1.6988236009347022
1460.0,-1.6994764993798461
1470.0,-1.6992124046529764
1481.0,-1.699600830903229
1491.0,-1.700195207532331
1501.0,-1.7008595074020345
1511.0,-1.701161714996137
1522.0,-1.7017794124788377
1532.0,-1.7019538408033839
1542.0,-1.7022894328576488
1552.0,-1.7022927543298954
1562.0,-1.7038550420400886
1573.0,-1.7036910206336853
1583.0,-1.7046320843662368
1593.0,-1.7047481521134478
1603.0,-1.705553140376433
1614.0,-1.7054775247837652
1624.0,-1.7065372779111811
1634.0,-1.7069578658959512
1644.0,-1.7074711142435393
1654.0,-1.707642031555137
1665.0,-1.7084601119180687
1675.0,-1.708626456413184
1685.0,-1.7091844094695434
1695.0,-1.7097546405503385
1706.0,-1.7105826439634948
1716.0,-1.7105588847804625
1726.0,-1.7105940658967616
1736.0,-1.7122736138827181
1747.0,-1.7115953155519674
1757.0,-1.7133479355534817
1767.0,-1.713648008178663
1777.0,-1.713817166885506
1787.0,-1.7140939657613605
1798.0,-1.7148497289751188
1808.0,-1.715186993587813
1818.0,-1.7154779121303136
1828.0,-1.7164679294169796
1839.0,-1.7168257896059864
1849.0,-1.7174284388085717
1859.0,-1.717244318167786
1869.0,-1.7189183620389519
1880.0,-1.7181536369905508
1890.0,-1.720168904672997
1900.0,-1.72039023944901
1910.0,-1.7204641886524439
1920.0,-1.7207905920652606
1931.0,-1.7215621385882174
1941.0,-1.721992311010685
1951.0,-1.7224799603191292
1961.0,-1.723008775389955
1972.0,-1.7237351230964943
1982.0,-1.7239736225312796
1992.0,-1.7239258969350715
2002.0,-1.7257510823591915
2013.0,-1.725142123410913
2023.0,-1.7266507624497944
2033.0,-1.7268612355798771
2043.0,-1.727441035352888
2054.0,-1.727665286238842
2064.0,-1.7282527330680082
2074.0,-1.7288270318328691
2084.0,-1.7291479396121525
2095.0,-1.729978987844892
2105.0,-1.7303148916253945
2115.0,-1.7308400464284799
2125.0,-1.7311719949780076
2135.0,-1.7322205338344174
2146.0,-1.7317097114738442
2156.0,-1.7337220102904185
2166.0,-1.7337087946587506
2176.0,-1.734241396453758
2187.0,-1.7345020538218108
2197.0,-1.7351637413579204
2207.0,-1.7356057932666142
2217.0,-1.7358374826184324
2228.0,-1.7370591584944894
2238.0,-1.7373027095001528
2248.0,-1.7375698440472274
2258.0,-1.7378035619468877
2269.0,-1.7390606565974374
2279.0,-1.7387348147567887
2289.0,-1.7400843552566176
2299.0,-1.740746874100726
2310.0,-1.7403701461605239
2320.0,-1.7406494618065145
2330.0,-1.7420841250997061
2340.0,-1.7422074446048272
2351.0,-1.7425414399674313
2361.0,-1.7431769195535085
2371.0,-1.7436169176316088
2381.0,-1.7439510726629874
2392.0,-1.7448204952544786
2402.0,-1.745002358638451
2412.0,-1.7451996913455234
2422.0,-1.7464160597512186
2432.0,-1.7469976880388414
2443.0,-1.747116885701749
2453.0,-1.747088338614163
2463.0,-1.748902862834218
2473.0,-1.7490916944314558
2484.0,-1.7493258680057568
2494.0,-1.7499890748500784
2504.0,-1.750689340172061
2514.0,-1.7509841573798637
2525.0,-1.7515498879568485
2535.0,-1.7521699076764385
