t,CCO
0.0,-1.3724216179633049
10.0,-1.3722417028409504
20.0,-1.3729855452878317
30.0,-1.3715493874503464
41.0,-1.371421260517509
51.0,-1.3726264764999385
61.0,-1.3717710163932517
71.0,-1.3710438567968026
81.0,-1.3723140501937217
91.0,-1.371767170297079
102.0,-1.3721036484804343
112.0,-1.3707330666331263
122.0,-1.3705606707649438
132.0,-1.3727221439043238
142.0,-1.3706360973751792
152.0,-1.3708289130611169
163.0,-1.3713345716924203
173.0,-1.3715508701304575
183.0,-1.3711891779092116
193.0,-1.370531870396807
203.0,-1.3712662819037198
213.0,-1.3708572002344876
224.0,-1.370645709980375
234.0,-1.369439627788927
244.0,-1.3720284745386062
254.0,-1.3704127363531948
264.0,-1.3692638755785818
274.0,-1.3720127959019863
285.0,-1.3700455560967428
295.0,-1.3714394615515522
305.0,-1.3696676712820073
315.0,-1.3698443552756219
325.0,-1.371305397316736
335.0,-1.3692928637202675
346.0,-1.3700829313789928
356.0,-1.369870718345193
366.0,-1.3699245314274737
376.0,-1.369503848435668
386.0,-1.3699933375227822
396.0,-1.3697607248123425
407.0,-1.370143888659433
417.0,-1.3691931722383428
427.0,-1.3681953451845863
437.0,-1.3714895342034763
447.0,-1.3693192647389167
457.0,-1.3684530086815918
468.0,-1.370205986254487
478.0,-1.3694160510594562
488.0,-1.370427725408028
498.0,-1.3688574887280118
508.0,-1.3689634637227044
519.0,-1.3694430157320316
529.0,-1.3693061030160005
539.0,-1.3685039276147497
549.0,-1.3699538954991848
559.0,-1.3691180748101999
569.0,-1.3682903034833258
580.0,-1.369397025777103
590.0,-1.3680748268233835
600.0,-1.3706429181310513
610.0,-1.368298248854688
620.0,-1.3682771483931961
630.0,-1.3698642323569117
641.0,-1.3682890862215882
651.0,-1.3690709225708915
661.0,-1.36835858276966
671.0,-1.3683207201037522
681.0,-1.3692080748386455
691.0,-1.3682729376226093
702.0,-1.3678475997044355
712.0,-1.3694176633167154
722.0,-1.3686522179331833
732.0,-1.367231383602758
742.0,-1.3696978932785537
752.0,-1.368394023202777
763.0,-1.3692121563062347
773.0,-1.3678101791124584
783.0,-1.3679660842252048
793.0,-1.3696117647108605
803.0,-1.3678344269409186
813.0,-1.3679342329809197
824.0,-1.368489285020776
834.0,-1.3680504280044674
844.0,-1.368463010496754
854.0,-1.3679568755561218
864.0,-1.3679427021688735
875.0,-1.3682867382978112
885.0,-1.3677278191810003
895.0,-1.36702598260301
905.0,-1.3689468060961847
915.0,-1.367706784765531
925.0,-1.3667951372135092
936.0,-1.3683411981827378
946.0,-1.367838143920978
956.0,-1.3684258632247008
966.0,-1.3672619857219108
976.0,-1.3677996761397246
987.0,-1.3677543919675508
997.0,-1.367480430577584
1007.0,-1.367389825448167
1017.0,-1.3683635135172596
1027.0,-1.3674610330169483
1037.0,-1.367172728915558
1048.0,-1.3682659603041711
1058.0,-1.3669273971469171
1068.0,-1.36897576786178
1078.0,-1.3671648111021282
1088.0,-1.3668834623056518
1098.0,-1.368922275904521
1109.0,-1.3669740683253193
1119.0,-1.3682460741775526
1129.0,-1.3669793139840143
1139.0,-1.3669968336520564
1149.0,-1.3684300252632082
1160.0,-1.3667638604783607
1170.0,-1.366523723871945
1180.0,-1.3680718015621718
1190.0,-1.3674199815796126
1200.0,-1.365970324416026
1211.0,-1.3677345642803191
1221.0,-1.3668557306111937
1231.0,-1.3682090610909494
1241.0,-1.3665982830048984
1251.0,-1.3667386454769341
1261.0,-1.3679659879532795
1272.0,-1.3661424952179584
1282.0,-1.3678443644207856
1292.0,-1.367173440163883
1302.0,-1.3664875043772933
1312.0,-1.367075114636522
1323.0,-1.3668990450497926
1333.0,-1.3660269482363798
1343.0,-1.3681782139659229
1353.0,-1.3667617588014986
1363.0,-1.3657231087554869
1373.0,-1.3681284771384679
1384.0,-1.3665759327206992
1394.0,-1.3681772175803895
1404.0,-1.3662469223865947
1414.0,-1.3667601314370594
1424.0,-1.3678299718840248
1435.0,-1.3663545467791762
1445.0,-1.3670252752313417
1455.0,-1.3670065152077042
1465.0,-1.3668144416177628
1475.0,-1.3668954483769555
1485.0,-1.3672513933464843
1496.0,-1.3665261425510002
1506.0,-1.368171802149642
1516.0,-1.3668140683653571
1526.0,-1.366144952957193
1536.0,-1.3688786667255342
1547.0,-1.3671167217612017
1557.0,-1.3681819010962681
1567.0,-1.3667773747691085
1577.0,-1.3672703517066487
1587.0,-1.3685568203958474
1598.0,-1.3671354943217733
1608.0,-1.3667638090457592
1618.0,-1.36825032345797
1628.0,-1.3674531764038116
1638.0,-1.36690519755578
1649.0,-1.3681333491335421
1659.0,-1.367309450105246
1669.0,-1.3689293752748115
1679.0,-1.36723999893587
1689.0,-1.3674083329214362
1700.0,-1.3680262282888034
1710.0,-1.3677411873085819
1720.0,-1.3683746092557687
1730.0,-1.3675937549390165
1740.0,-1.3679182344786005
1751.0,-1.368141602432345
1761.0,-1.367755563156117
1771.0,-1.367112413049938
1781.0,-1.3691814670387235
1791.0,-1.3681083464950374
1801.0,-1.3675169692560891
1812.0,-1.3687863763990735
1822.0,-1.368279585406929
1832.0,-1.3699441951211995
1842.0,-1.3682223188030778
1852.0,-1.3686223931286094
1863.0,-1.369198300143026
1873.0,-1.3691884802213936
1883.0,-1.369240126300299
1893.0,-1.3693898629478767
1903.0,-1.3694405099514828
1914.0,-1.3701842741670245
1924.0,-1.3695047938816183
1934.0,-1.368988851935763
1944.0,-1.3712632093685455
1954.0,-1.3699090232690896
1965.0,-1.3714620272113884
1975.0,-1.36982268087855
1985.0,-1.3702899506277944
1995.0,-1.371938222871049
2005.0,-1.3703876805906237
2016.0,-1.3706530124627556
2026.0,-1.3712593849469557
2036.0,-1.3712228857055462
2046.0,-1.3708049464736265
2056.0,-1.3720775208863898
2067.0,-1.370877746685573
2077.0,-1.3729341750223305
2087.0,-1.3717913478011274
2097.0,-1.3713561807673484
2107.0,-1.3734602146729982
2118.0,-1.3720953151162045
2128.0,-1.3738261814602757
2138.0,-1.3725335433643218
2148.0,-1.3730494856465585
2158.0,-1.3737094239063645
2169.0,-1.373264508685466
2179.0,-1.372879983027515
2189.0,-1.374533135209898
2199.0,-1.373912785417024
2209.0,-1.3733067684994742
2220.0,-1.3747666525653854
2230.0,-1.3743062243901873
2240.0,-1.3760477944525478
2250.0,-1.374793959710249
2260.0,-1.3745344069701428
2271.0,-1.3756998796296716
2281.0,-1.378788630128
2291.0,-1.3773089726057874
2301.0,-1.3756828318133953
2311.0,-1.3761846501375672
2322.0,-1.3770762494942672
2332.0,-1.3769952379594002
2342.0,-1.376136075957505
2352.0,-1.3785231976623007
2362.0,-1.377806670514181
2373.0,-1.378855203558999
2383.0,-1.3778332497282435
2393.0,-1.378170357805455
2403.0,-1.3795755250367763
2413.0,-1.378462162776048
2424.0,-1.3790380836991547
2434.0,-1.37929000807396
2444.0,-1.3794938945151713
2454.0,-1.3798254743548244
2464.0,-1.380101784592745
