t,CCO
0.0,0.29896456586335896
11.0,0.2990717754814465
21.0,0.29916879128987184
31.0,0.29926345002866533
41.0,0.29935692002477354
52.0,0.2994581718364095
62.0,0.2995501182430345
72.0,0.29964152982863834
82.0,0.29973241043437393
92.0,0.2998225510665521
103.0,0.299919050568415
113.0,0.30000573526274765
123.0,0.30008943758324474
133.0,0.30016903643006776
144.0,0.3002503596242098
154.0,0.30031757051451496
164.0,0.3003764156869617
174.0,0.3004253059886037
184.0,0.30046275232305036
195.0,0.30049431151102035
205.0,0.3005045472806975
215.0,0.30049985472413016
225.0,0.30047947747119885
236.0,0.3004506670939087
246.0,0.30039790308586545
256.0,0.30032953123279593
266.0,0.30024613355194835
277.0,0.3001569044366699
287.0,0.3000453536210402
297.0,0.29992161891459673
307.0,0.299786632716685
317.0,0.2996412717957629
328.0,0.29949547819378997
338.0,0.29933028569480963
348.0,0.2991565196019501
358.0,0.29897434119996347
369.0,0.29879328631339935
379.0,0.2985931665402655
389.0,0.2983847714330044
399.0,0.29816795182528905
409.0,0.2979425437451564
420.0,0.29771770404544173
430.0,0.2974731340885592
440.0,0.29721979830669254
450.0,0.2969575990015799
461.0,0.29669549952879154
471.0,0.29641382973697955
481.0,0.29612358043275
491.0,0.2958248456992278
502.0,0.29552633428884084
512.0,0.29520926978009854
522.0,0.29488453331313114
532.0,0.2945523278123207
542.0,0.29421287989274764
553.0,0.29387436639450076
563.0,0.2935190791032953
573.0,0.29315742724944127
583.0,0.2927894686693658
594.0,0.29242264543821456
604.0,0.2920402879721127
614.0,0.2916521208285401
624.0,0.29125803138336825
635.0,0.2908646049134297
645.0,0.29045642523853415
655.0,0.2900424091129741
665.0,0.28962240689390906
676.0,0.2892021361443342
686.0,0.2887676007625043
696.0,0.28832700435037617
706.0,0.28788026566039193
716.0,0.2874273082501096
727.0,0.28697320429923645
737.0,0.2865057060056638
747.0,0.28603257798731335
757.0,0.28555400137854425
768.0,0.28507465249929115
778.0,0.2845839753968849
788.0,0.284089306766464
798.0,0.28359110710086344
809.0,0.28309357941552216
819.0,0.2825874873030259
829.0,0.28207948945082156
839.0,0.28156982641854655
850.0,0.2810613994139218
860.0,0.28054613424715225
870.0,0.28002917290124874
880.0,0.2795101229587511
890.0,0.27898829641420125
901.0,0.27846498333096986
911.0,0.2779333478471325
921.0,0.27739713640720975
931.0,0.2768557208964156
942.0,0.27630982252586717
952.0,0.2757544431486804
962.0,0.27519325954778273
972.0,0.274626411483728
983.0,0.274054957819552
993.0,0.2734757932023579
1003.0,0.2728928493952029
1013.0,0.27230684935059296
1024.0,0.2717188102245687
1034.0,0.27112665895896615
1044.0,0.27053381513407715
1054.0,0.2699406782778794
1065.0,0.269347186169008
1075.0,0.2687516578124823
1085.0,0.2681561744652858
1095.0,0.2675603888226662
1106.0,0.26696288277817537
1116.0,0.2663627723976749
1126.0,0.26576106721358717
1136.0,0.26515721537786424
1147.0,0.2645492070502014
1157.0,0.2639376481090514
1167.0,0.26332326087553504
1177.0,0.2627060121427043
1188.0,0.26208395786222244
1198.0,0.26145935486090693
1208.0,0.26083291841907963
1218.0,0.2602050762220822
1228.0,0.2595762843456612
1239.0,0.2589443003846423
1249.0,0.2583125654947197
1259.0,0.25768115624822935
1269.0,0.2570502502583084
1280.0,0.256416570829298
1290.0,0.2557840710906812
1300.0,0.2551516452062784
1310.0,0.25451879324107396
1321.0,0.25388125436732534
1331.0,0.2532436618822767
1341.0,0.25260407595939527
1351.0,0.2519620742777019
1362.0,0.25131316131645315
1372.0,0.2506634745129373
1382.0,0.25001142113547825
1392.0,0.24935752248330031
1403.0,0.2486981354890562
1413.0,0.24804126692010026
1423.0,0.24738592890856176
1433.0,0.2467335573774595
1444.0,0.246080500059489
1454.0,0.2454356556770388
1464.0,0.2447970532416309
1474.0,0.24416519112707996
1485.0,0.2435341914538294
1495.0,0.2429124266300107
1505.0,0.2422951470447114
1515.0,0.24168072495829757
1526.0,0.24106084610271525
1536.0,0.24044370106275675
1546.0,0.2398230682194322
1556.0,0.23919709829405503
1567.0,0.2385577908000619
1577.0,0.23791616466847024
1587.0,0.23726750517692685
1597.0,0.23661289148625178
1608.0,0.23594706824453995
1618.0,0.23528385841515315
1628.0,0.23462094909435718
1638.0,0.23396079275567333
1649.0,0.23329846600477616
1659.0,0.2326474989057592
1669.0,0.23200334201558181
1679.0,0.23136549670504555
1690.0,0.2307248854389777
1700.0,0.23009128373945037
1710.0,0.22945522401697518
1720.0,0.22881189644741626
1731.0,0.2281485670084097
1741.0,0.22747373791028141
1751.0,0.22677750488914408
1761.0,0.22605737758294256
1772.0,0.22530555129376337
1782.0,0.22453691238793333
1792.0,0.22375113885567596
1802.0,0.2229565657870392
1813.0,0.2221578165383924
1823.0,0.2213793600855088
1833.0,0.22063147067743819
1844.0,0.2199226416537419
1854.0,0.2192775251224791
1864.0,0.21870171975559866
1874.0,0.21820044821804452
