,t,HbO2,HHb,SaO2sup,P_a,temp,CCO,Hbdiff,HbT
370,3786.0000000000005,-0.8417246695294365,1.7173079492586796,0.9999999887817623,47.99775362516832,34.791620546824035,0.30331543210954615,-2.559032618788116,0.8755832797292431
371,3796.0000000000005,-0.8432653121040836,1.7193299804858935,0.9999999949216586,47.976512178943906,34.78053519321596,0.3027238409420152,-2.562595292589977,0.8760646683818099
372,3806.0000000000005,-0.8444721295494739,1.7208230143742602,0.9999999951360418,47.95527073271949,34.76945905668205,0.3021242999785074,-2.565295143923734,0.8763508848247863
373,3817.0000000000005,-0.8452862272755723,1.7216977289366513,0.9999999953718635,47.93190514187263,34.75837380038069,0.30149495980543706,-2.5669839562122236,0.876411501661079
374,3827.0000000000005,-0.8456531405717822,1.7218691554654875,0.9999999955862466,47.91066369564822,34.747259799969136,0.300811482167046,-2.5675222960372697,0.8762160148937053
375,3837.0000000000005,-0.8455242384189674,1.7212586271636683,0.9999999958006299,47.8894222494238,34.73609642664801,0.30004745263661503,-2.5667828655826357,0.8757343887447009
376,3847.0000000000005,-0.84485803181206,1.7197956830800019,0.9999999960150131,47.86818080319939,34.72486237697275,0.29917487524263153,-2.564653714892062,0.8749376512679419
377,3858.0000000000005,-0.8436213534936003,1.7174198849386917,0.9999999962508346,47.84481521235253,34.71353604583843,0.2981647384892161,-2.561041238432292,0.8737985314450913
378,3868.0000000000005,-0.8417903784459044,1.7140825044168952,0.9999999964652179,47.82357376612811,34.70209593759301,0.29698763992930943,-2.5558728828627997,0.8722921259709908
379,3878.0000000000005,-0.8393514576227847,1.7097480390528945,0.9999999966796012,47.802332319903705,34.690521108794606,0.29561445454001456,-2.5490994966756793,0.8703965814301098
380,3888.0000000000005,-0.8363017411270741,1.7043955163258016,0.9999999968939843,47.78109087367929,34.67879163474335,0.2940170306408514,-2.5406972574528757,0.8680937751987274
381,3899.0000000000005,-0.8326495712154696,1.6980195476449493,0.9999999971298059,47.75772528283243,34.66688909062575,0.2921688959685149,-2.530669118860419,0.8653699764294798
382,3909.0000000000005,-0.8284146300272921,1.6906310971468352,0.9999999973441892,47.736483836608016,34.65479703694115,0.290045955752831,-2.5190457271741273,0.8622164671195431
383,3919.0000000000005,-0.8236278317616028,1.6822579344242667,0.9999999975585725,47.7152423903836,34.642501497859946,0.28762716423976786,-2.5058857661858696,0.8586301026626639
384,3930.0000000000005,-0.8183309541936907,1.6729447456685964,0.9999999977943941,47.69187679953674,34.62999142032087,0.2848951511276816,-2.491275699862287,0.8546137914749057
385,3940.0000000000005,-0.812576009932271,1.662752884208734,0.9999999980087773,47.67063535331233,34.617259101047985,0.2818367848793044,-2.475328894141005,0.850176874276463
386,3950.0000000000005,-0.806424363615144,1.6517597490541647,0.9999999982231605,47.64939390708791,34.60430056831445,0.2784436558813632,-2.4581841126693087,0.8453353854390206
387,3960.0000000000005,-0.7999456072233979,1.6400577887114345,0.9999999984375438,47.6281524608635,34.591115905260025,0.27471246396259597,-2.4400033959348324,0.8401121814880366
388,3971.0000000000005,-0.7932162117628927,1.6277531370813652,0.9999999986733653,47.60478687001664,34.577709501940674,0.270645296859082,-2.420969348844258,0.8345369253184725
389,3981.0000000000005,-0.7863179796368573,1.6149638984065717,0.9999999988877485,47.58354542379222,34.564090224094734,0.26624978883696393,-2.401281878043429,0.8286459187697144
390,3991.0000000000005,-0.7793363280427945,1.6018181087058663,0.9999999991021318,47.56230397756781,34.55027148788376,0.2615391518258525,-2.381154436748661,0.8224817806630718
391,4001.0000000000005,-0.7723584395681939,1.588451411526746,0.9999999993165151,47.54106253134339,34.53627123163136,0.25653207501573605,-2.36080985109494,0.8160929719585521
392,4012.0000000000005,-0.7654713216430498,1.5750044957201856,0.9999999995523366,47.517696940496535,34.52211177785836,0.25125249280839945,-2.3404758173632354,0.8095331740771359
393,4022.0000000000005,-0.7587598213208055,1.5616203517710838,0.9999999997667198,47.49645549427212,34.50781958170162,0.2457292251292098,-2.3203801730918894,0.8028605304502783
394,4032.0000000000005,-0.7523046456034628,1.5484414104673148,0.9999999978995979,47.475214048047704,34.49342486508105,0.23999549820736354,-2.3007460560707775,0.796136764863852
395,4042.0000000000005,-0.7461804397922807,1.5356066329049627,0.9999999962533381,47.45397260182329,34.478961139676166,0.23408835782338322,-2.2817870726972433,0.789426193112682
396,4053.0000000000005,-0.7404539767691514,1.5232486236998657,0.9999999948462373,47.43060701097644,34.46446462577122,0.22804799050571245,-2.263702600469017,0.7827946469307143
397,4063.0000000000005,-0.7351825084035122,1.5114908396761013,0.9999999936892879,47.40936556475202,34.44997357816994,0.22191697105040897,-2.2466733480796135,0.7763083312725891
398,4073.0000000000005,-0.730412326260609,1.5004449642907325,0.9999999927865934,47.38812411852761,34.43552753447606,0.21573945688176055,-2.2308572905513415,0.7700326380301235
399,4084.0000000000005,-0.72617757247151,1.4902085138674437,0.9999999921359062,47.36475852768075,34.42116650487421,0.20956035104892257,-2.2163860863389537,0.7640309413959336
400,4094.0000000000005,-0.7224993332655805,1.4808627356907884,0.9999999917292668,47.34351708145633,34.40693012589246,0.2034244559981575,-2.203362068956369,0.7583634024252079
401,4104.0,-0.7193850377697926,1.4724708504981443,0.9999999915537174,47.32227563523192,34.39285680323145,0.19737563967714755,-2.191855888267937,0.7530858127283517
402,4114.0,-0.7168281739911926,1.465076683181338,0.999999991592067,47.3010341890075,34.378982870341794,0.1914560341152196,-2.1819048571725306,0.7482485091901454
403,4125.0,-0.7148083233098577,1.458703715825183,0.9999999918236862,47.277668598160645,34.365341789781674,0.18570528456863178,-2.1735120391350407,0.7438953925153253
404,4135.0,-0.7132915051689146,1.4533545868336883,0.9999999922253079,47.25642715193623,34.35196342334048,0.1801598648551752,-2.166646092002603,0.7400630816647737
405,4145.0,-0.7122308155591979,1.4490110491252954,0.9999999927718182,47.235185705711814,34.33887339447515,0.17485247184038277,-2.1612418646844933,0.7367802335660976
406,4156.0,-0.7115673366161346,1.4456343895200083,0.9999999934370156,47.211820114864956,34.326092562955616,0.16981150933220013,-2.157201726136143,0.7340670529038738
407,4166.0,-0.7112312901242364,1.443166300757829,0.999999994194328,47.19057866864054,34.31363662706282,0.1650606689884322,-2.1543975908820654,0.7319350106335927
408,4176.0,-0.711143404718749,1.4415301872670119,0.9999999950174705,47.169337222416125,34.30151586358537,0.16061861331112093,-2.152673591985761,0.7303867825482628
409,4186.0,-0.71121646476632,1.4406328759639555,0.9999999958810365,47.14809577619171,34.28973501055564,0.15649876345432046,-2.1518493407302755,0.7294164111976356
410,4197.0,-0.7113570079706095,1.4403666941390254,0.9999999967610134,47.12473018534485,34.27829329244201,0.15270919244145942,-2.151723702109635,0.7290096861684159
