temp,CCO,HbO2,HHb,P_a,SaO2sup,t
38.92487900645453,-1.7428063450021118,-4.611929706412682,-7.575072465285289,52.39895705,0.99,0.0
38.92200356078547,-1.7413770108530957,-4.6045658219830665,-7.585404841667932,52.66390135,0.99,10.0
38.919191245117155,-1.7398050140282957,-4.5977709680278425,-7.595801506379748,51.94646,0.99,20.0
38.91646984509353,-1.7380387852841852,-4.592180590232647,-7.606004634943602,55.7018226,0.99,31.0
38.91386079658338,-1.7360555059987957,-4.5883220927397135,-7.615736346637387,52.61894834,0.99,41.0
38.91137687079146,-1.7338655234188023,-4.586573298165488,-7.62470803380895,52.70130602,0.99,51.0
38.90902053876858,-1.7315121641205369,-4.587137429889786,-7.632634072218174,50.582684,0.99,61.0
38.90678323429404,-1.7290668807531742,-4.5900363449151484,-7.639249253653692,52.80528933,0.99,71.0
38.90464565393746,-1.7266203433140082,-4.595121559395813,-7.644328262158903,51.07307705,0.99,82.0
38.90257913453515,-1.7242706745118246,-4.602100607492829,-7.647704759291916,52.70969128,0.99,92.0
38.90054804018465,-1.7221104500842666,-4.610574669900922,-7.649287358983813,54.655548,0.99,102.0
38.89851298388679,-1.7202142543775192,-4.620082439525879,-7.6490700404462135,53.10299333,0.99,112.0
38.896434614539146,-1.7186284563254215,-4.6301450058783935,-7.647135294326353,51.35337419,0.99,122.0
38.89427762868032,-1.7173644897269884,-4.640307086350385,-7.643649325623553,52.93302895,0.99,133.0
38.892014626488475,-1.7163963856579336,-4.650170991167814,-7.6388497077272275,52.48971115,0.99,143.0
38.889629428239935,-1.7156627226404586,-4.659421013874894,-7.633026799809632,51.63672583,0.99,153.0
38.88711950271643,-1.7150726093617126,-4.667837285685622,-7.626500893547834,52.705301,0.99,163.0
38.8844972315249,-1.7145148441651743,-4.675299394308796,-7.619597404477777,53.68452829,0.99,173.0
38.88178983750974,-1.7138690491487818,-4.681781145882675,-7.612622470084075,52.24627226,0.99,184.0
38.87903793148853,-1.7130174007866548,-4.687338616977494,-7.6058411001673605,50.87056111,0.99,194.0
38.876292765734895,-1.7118556019506108,-4.6920939759705345,-7.599459623706398,52.92367483,0.99,204.0
38.873612409341185,-1.710301951469877,-4.696217409138188,-7.593613678441205,54.82360828,0.99,214.0
38.87105716499474,-1.7083037185396022,-4.69990896928745,-7.588362450881107,52.67546689,0.99,225.0
38.86868461760794,-1.7058404474281983,-4.7033814866794215,-7.583689324289902,56.07249128,0.99,235.0
38.86654473694811,-1.7029242187513476,-4.706845072109101,-7.5795085729367635,52.86799346,0.99,245.0
38.86467544881562,-1.6995972034641784,-4.710493353885374,-7.5756773129021004,52.44316115,0.99,255.0
38.86309904658359,-1.6959270322930071,-4.7144914591055365,-7.572011612121834,51.13221782,0.99,265.0
38.86181974372517,-1.6920005876189208,-4.718965806556482,-7.568305440800378,53.25427715,0.99,276.0
38.8608225760759,-1.6879168550458905,-4.723995913429461,-7.564350947729574,51.84501396,0.99,286.0
38.86007375779182,-1.6837794771268049,-4.7296085539246295,-7.559958362521192,52.30019145,0.99,296.0
38.85952248447474,-1.6796896188501285,-4.735774735443759,-7.55497370571406,52.84783717,0.99,306.0
38.85910406747172,-1.675739652091738,-4.742410088858255,-7.549292537440076,52.9247404,0.99,316.0
38.85874418159495,-1.672007991481916,-4.749379351058863,-7.542868274354067,51.02463226,0.99,327.0
38.858363921058995,-1.6685552140488231,-4.7565055182632765,-7.535714171725877,52.50144805,0.99,337.0
38.857885291241494,-1.6654214401309022,-4.763583846276371,-7.52789883290246,58.22094702,0.99,347.0
38.857236721705604,-1.6626248875267504,-4.770400174042842,-7.519535934323676,52.68002451,0.99,357.0
38.85635817226419,-1.6601615228489583,-4.7767522093411205,-7.510769588095247,52.22382857,0.99,367.0
38.85520542103643,-1.6580057718261458,-4.782471677561102,-7.501757281528777,52.95153072,0.99,378.0
38.853753172541545,-1.656112267716358,-4.787444791206919,-7.492652556450317,52.57033026,0.99,388.0
38.85199670445634,-1.6544186043164222,-4.791628425473721,-7.4835895003546025,51.18635,0.99,398.0
38.84995188113448,-1.6528490321426683,-4.795059659194564,-7.474670761900697,52.1907129,0.99,408.0
38.847653494672215,-1.6513189985446106,-4.797856918586551,-7.465960265836433,53.14719871,0.99,418.0
38.845152040593455,-1.6497403672303317,-4.800211838287046,-7.457481179079117,52.47971887,0.99,429.0
38.84250918166037,-1.6480270410973483,-4.8023721190299495,-7.449219037057543,50.4247039,0.99,439.0
38.83979228404361,-1.6461005665796618,-4.804617000957776,-7.4411293315885665,52.45975194,0.99,449.0
38.837068509318115,-1.643895173494364,-4.807228231280827,-7.433148345465808,57.27878025,0.99,459.0
38.834399000406265,-1.6413616792045391,-4.810460263808523,-7.4252056458194735,52.53952395,0.99,469.0
38.83183370155538,-1.638469812833834,-4.8145136404302695,-7.417236454331525,55.13957451,0.99,480.0
38.8294072998433,-1.635208779445548,-4.819515009492754,-7.4091921298394725,52.61521442,0.99,490.0
38.82713667299192,-1.631586198059509,-4.825506172001666,-7.401047260628284,50.81619355,0.99,500.0
38.82502008527828,-1.627625796949114,-4.832443184199491,-7.392802371650458,51.24073084,0.99,510.0
38.82303820400493,-1.623364358930286,-4.840205178123805,-7.384481938762728,51.85428228,0.99,520.0
38.821156830022716,-1.6188483725212597,-4.848611414728719,-7.37612814117842,51.97072803,0.99,531.0
38.819331065152134,-1.6141307084075611,-4.857444271672678,-7.367791443403482,51.8765075,0.99,541.0
38.81751049450185,-1.6092674676831011,-4.866475404248966,-7.359519586122806,50.38200032,0.99,551.0
