P_a,SaO2sup,temp,DHbO2,DHHb,CCO,DHbT,DHbdiff,t
54.36479,1,33.1626,-8.6056699992,-2.6379312051,-2.193701715,-11.2436012043,-5.9677387941,0
56.9375779006,1,33.1618,-8.5186088611,-2.610776439,-2.2084006781,-11.1293853001,-5.9078324221,10
60.534296,1,33.1607,-8.5537853383,-2.6501450639,-2.2087604594,-11.2039304022,-5.9036402744,20
56.5717516484,1,33.1596,-8.5783615717,-2.6989042183,-2.1750594998,-11.27726579,-5.8794573534,31
56.2972077778,1,33.1579,-8.5073126702,-2.6104396059,-2.2067062625,-11.1177522761,-5.8968730643,41
52.6953197802,1,33.158,-8.5006834045,-2.695460731,-2.1915344403,-11.1961441355,-5.8052226735,51
56.0428456522,1,33.1549,-8.4206899268,-2.7160656244,-2.1868594998,-11.1367555511,-5.7046243024,62
57.5598848404,1,33.1556,-8.5538137623,-2.6227969617,-2.1991986011,-11.176610724,-5.9310168005,72
54.1050808743,1,33.1527,-8.5240634722,-2.6143968465,-2.2088624274,-11.1384603187,-5.9096666256,82
58.891277809,1,33.1519,-8.5540584292,-2.6742488422,-2.1983162837,-11.2283072714,-5.879809587,93
51.9684937838,1,33.1478,-8.5709818651,-2.6168379139,-2.2209702148,-11.1878197789,-5.9541439512,103
54.8295397849,1,33.1452,-8.4447482768,-2.6999898008,-2.1980687056,-11.1447380776,-5.744758476,113
51.3092612903,1,33.143,-8.5097933851,-2.6808667697,-2.1992038391,-11.1906601547,-5.8289266154,124
53.8646227027,1,33.1381,-8.5147330315,-2.6596774817,-2.2120919288,-11.1744105133,-5.8550555498,134
53.9757983784,1,33.1364,-8.5063366888,-2.5827663848,-2.2463265174,-11.0891030737,-5.923570304,144
52.5325157754,1,33.1337,-8.4811571907,-2.6771901704,-2.2107398683,-11.1583473611,-5.8039670203,155
52.9024369681,1,33.1309,-8.5115315812,-2.588686457,-2.2393103969,-11.1002180383,-5.9228451242,165
55.5228943299,1,33.1302,-8.4740221178,-2.7226969786,-2.2017718854,-11.1967190964,-5.7513251392,175
53.0209242105,1,33.1283,-8.4806782533,-2.6833898224,-2.2088382324,-11.1640680757,-5.7972884309,186
55.9304486486,1,33.1278,-8.4959153545,-2.7322934375,-2.1946170631,-11.2282087919,-5.763621917,196
49.7427796875,1,33.1241,-8.4439258319,-2.6308168917,-2.2486761244,-11.0747427236,-5.8131089402,206
52.3263588083,1,33.1189,-8.4121065633,-2.6920253103,-2.2288158285,-11.1041318736,-5.720081253,217
49.5021900524,1,33.1201,-8.4076716932,-2.7942111606,-2.1764057042,-11.2018828539,-5.6134605326,227
51.2015381443,1,33.1149,-8.3915684497,-2.8075938459,-2.1805568955,-11.1991622956,-5.5839746038,237
52.2756,1,33.1157,-8.4495676962,-2.698080057,-2.2205735232,-11.1476477532,-5.7514876392,248
49.6473225064,1,33.1105,-8.4421920056,-2.795376773,-2.1736931281,-11.2375687786,-5.6468152326,258
51.5394629442,1,33.1066,-8.4138379954,-2.7500394003,-2.2084686703,-11.1638773957,-5.6637985951,268
47.846330303,1,33.1052,-8.4320825147,-2.715119852,-2.2280246082,-11.1472023667,-5.7169626627,279
50.6247333333,1,33.0998,-8.464272217,-2.6991687559,-2.210687969,-11.163440973,-5.7651034611,289
56.0082383838,1,33.0985,-8.5032334251,-2.70068407,-2.2045336856,-11.203917495,-5.8025493551,299
49.686642,1,33.0959,-8.4137543196,-2.6836094086,-2.2279169297,-11.0973637283,-5.730144911,310
49.972162,1,33.0926,-8.4006602101,-2.6607147958,-2.2606289301,-11.0613750059,-5.7399454144,320
48.34210425,1,33.0917,-8.3885416176,-2.828462411,-2.2042754655,-11.2170040286,-5.5600792067,330
49.5252681592,1,33.0904,-8.3931748987,-2.7891159811,-2.2077526852,-11.1822908799,-5.6040589176,341
49.9813161765,1,33.0889,-8.4157589675,-2.6852850779,-2.2528124681,-11.1010440454,-5.7304738895,351
46.9892634146,1,33.0875,-8.4010938406,-2.6874073737,-2.2470716324,-11.0885012143,-5.7136864668,361
52.0020767943,1,33.0869,-8.3834130629,-2.767962688,-2.2287178448,-11.1513757509,-5.6154503748,372
48.8682118932,1,33.0858,-8.4359592448,-2.7108781503,-2.2454798233,-11.1468373951,-5.7250810946,382
52.2556328502,1,33.0859,-8.429224668,-2.7776298217,-2.2060388694,-11.2068544897,-5.6515948463,392
47.8771538835,1,33.0852,-8.3879434671,-2.7856187103,-2.2406185913,-11.1735621774,-5.6023247568,403
45.9841184466,1,33.0849,-8.3964484,-2.7223479043,-2.2586436096,-11.1187963043,-5.6741004957,413
48.3256240291,1,33.0837,-8.4639320451,-2.6989619507,-2.238927901,-11.1628939958,-5.7649700945,423
47.0401897311,1,33.0835,-8.3192718136,-2.7730646436,-2.2140601406,-11.0923364572,-5.54620717,434
52.4361857143,1,33.0823,-8.4579523392,-2.8085164493,-2.2262131468,-11.2664687885,-5.64943589,444
46.7713137767,1,33.078,-8.3961092906,-2.6944833204,-2.269394846,-11.090592611,-5.7016259703,454
45.0930345238,1,33.0773,-8.3151517797,-2.755788928,-2.2457682295,-11.0709407077,-5.5593628517,465
47.1387664286,1,33.0732,-8.4426369629,-2.8082370308,-2.2217636658,-11.2508739937,-5.6343999321,475
44.732554717,1,33.0696,-8.5115867895,-2.857625352,-2.1663333615,-11.3692121415,-5.6539614374,485
48.8257186567,1,33.0646,-8.5954196957,-2.7059210463,-2.2791946818,-11.301340742,-5.8894986493,496
45.041022381,1,33.0597,-9.4780685765,-2.0425395784,-2.2980969233,-11.5206081549,-7.435528998,506
44.6388731959,1,33.0562,-9.3571544097,-1.9719849598,-2.2350339335,-11.3291393695,-7.3851694499,516
39.9538738693,1,33.0529,-8.8820209239,-2.3332962,-2.1991530065,-11.2153171239,-6.5487247239,527
38.51497375,1,33.051,-8.6724220854,-2.387385846,-2.2652241834,-11.0598079314,-6.2850362394,537
43.5452365,1,33.0479,-8.5615277428,-2.5266822703,-2.2423899456,-11.0882100131,-6.0348454726,547
42.4665555556,1,33.0457,-8.568929481,-2.6864681619,-2.1747935757,-11.2553976429,-5.882461319,558
47.3043642857,1,33.0439,-8.5105730988,-2.6095212806,-2.2342331799,-11.1200943794,-5.9010518182,568
42.2561270936,1,33.0413,-8.5495770015,-2.5846909241,-2.2611912036,-11.1342679256,-5.9648860774,578
42.4563706897,1,33.0386,-8.5388425659,-2.5709342179,-2.2700904485,-11.1097767838,-5.967908348,589
43.1437594059,1,33.0335,-8.6099547842,-2.5756928902,-2.268750781,-11.1856476744,-6.034261894,599
40.9590692875,1,33.0287,-8.5769501393,-2.6108788835,-2.2556319093,-11.1878290228,-5.9660712558,610
45.7961611675,1,33.027,-8.6328043,-2.6297305007,-2.2420803018,-11.2625348007,-6.0030737993,620
40.8499655172,1,33.024,-8.5613296387,-2.6737016599,-2.2356726617,-11.2350312986,-5.8876279788,630
45.1471682266,1,33.0224,-8.5810667444,-2.5806288493,-2.2949351087,-11.1616955937,-6.0004378951,641
42.8236860294,1,33.0192,-8.633918357,-2.588649133,-2.2517328409,-11.22256749,-6.045269224,651
44.4052468293,1,33.0189,-8.5775524726,-2.5579404505,-2.2874044833,-11.1354929231,-6.0196120221,661
41.5644495098,1,33.014,-8.5743136893,-2.6276710287,-2.2344587575,-11.201984718,-5.9466426606,672
40.1119720874,1,33.0128,-8.6691187915,-2.5494923416,-2.2568822088,-11.2186111331,-6.1196264499,682
41.0490073171,1,33.0095,-8.5187879854,-2.6550109313,-2.239692631,-11.1737989167,-5.8637770541,692
41.7067409756,1,33.0061,-8.6988207453,-2.599593534,-2.2344778041,-11.2984142793,-6.0992272112,703
44.9616222222,1,33.0049,-8.7077071466,-2.5541411619,-2.235728346,-11.2618483085,-6.1535659847,713
41.2895919118,1,32.9999,-8.6162770388,-2.5667384339,-2.2415831022,-11.1830154727,-6.0495386048,723
39.3025344828,1,32.9957,-8.5876123017,-2.6818814004,-2.2211017685,-11.2694937021,-5.9057309013,734
41.7344373134,1,32.9927,-8.7231923906,-2.5293179251,-2.2368252695,-11.2525103157,-6.1938744655,744
38.5570316176,1,32.9893,-8.6337196028,-2.5675879005,-2.210697835,-11.2013075033,-6.0661317024,754
45.8956211055,1,32.9868,-8.7572343967,-2.5558652435,-2.206961338,-11.3130996402,-6.2013691531,765
40.3288845771,1,32.9845,-8.7412639615,-2.4369285346,-2.2312426094,-11.1781924961,-6.3043354269,775
43.9614782178,1,32.983,-8.7860109937,-2.5105101941,-2.1832577258,-11.2965211877,-6.2755007996,785
40.617970936,1,32.9793,-8.7775369473,-2.4441156178,-2.2078462604,-11.2216525651,-6.3334213296,796
38.53464575,1,32.9793,-8.7364328434,-2.377431139,-2.22181645,-11.1138639823,-6.3590017044,806
40.5192450495,1,32.9766,-8.7672571451,-2.4786014138,-2.1900032846,-11.245858559,-6.2886557313,816
39.041996,1,32.9738,-8.7180163768,-2.4880435502,-2.1791325107,-11.2060599271,-6.2299728266,827
43.0982143216,1,32.9711,-8.7308541793,-2.4277925929,-2.2156267781,-11.1586467722,-6.3030615864,837
38.7961020101,1,32.97,-8.710654428,-2.3751881497,-2.2317726401,-11.0858425777,-6.3354662783,847
39.3375731156,1,32.9716,-8.6334123277,-2.4132808963,-2.2619514043,-11.046693224,-6.2201314314,858
40.2402849246,1,32.9668,-8.5836510988,-2.4761292279,-2.2679305283,-11.0597803267,-6.1075218709,868
38.4746132992,1,32.9668,-8.4930569909,-2.2732006728,-2.3558832011,-10.7662576637,-6.2198563181,879
40.4382426768,1,32.9653,-8.610471939,-1.9921258497,-2.4610559569,-10.6025977888,-6.6183460893,889
37.3784385787,1,32.9645,-8.876281263,-1.7807817284,-2.4873424427,-10.6570629914,-7.0954995346,899
38.7390051546,1,32.9674,-9.0217026964,-1.6530763209,-2.5193357355,-10.6747790174,-7.3686263755,910
38.3466907692,1,32.9676,-8.9623052195,-1.5839515316,-2.5292296056,-10.5462567511,-7.3783536879,920
37.9451820513,1,32.9721,-9.0044775353,-1.4828061799,-2.5511546467,-10.4872837153,-7.5216713554,930
36.659544898,1,32.9757,-9.0157194243,-1.3632616163,-2.5572352781,-10.3789810406,-7.6524578079,941
35.5881126904,0.99,32.9777,-8.9019217011,-1.3222263062,-2.55655544,-10.2241480072,-7.5796953949,951
36.431280203,0.99,32.9801,-8.759906276,-1.3827754206,-2.5563120897,-10.1426816966,-7.3771308554,961
37.540125,0.99,32.9836,-8.6449029949,-1.4628902051,-2.5347702699,-10.1077932,-7.1820127898,972
39.411555102,0.99,32.9874,-8.537189462,-1.4488434535,-2.556786214,-9.9860329155,-7.0883460085,982
38.2636136364,0.99,32.9919,-8.535095388,-1.36627603,-2.5642058256,-9.901371418,-7.168819358,992
37.4311590909,0.99,32.9954,-8.4086328631,-1.5697202104,-2.5259952834,-9.9783530735,-6.8389126527,1003
37.4022111111,0.98,33.0015,-8.3587254798,-1.5497902595,-2.5325792802,-9.9085157393,-6.8089352203,1013
37.2387212121,0.99,33.008,-8.2510357491,-1.6182374889,-2.5119025768,-9.8692732379,-6.6327982602,1023
40.5739121827,0.98,33.0098,-8.2702795317,-1.5365945318,-2.5586714619,-9.8068740636,-6.7336849999,1034
38.2845851385,0.98,33.0115,-8.1934342118,-1.5954705546,-2.5491634437,-9.7889047665,-6.5979636572,1044
40.285689,0.98,33.015,-8.1572361412,-1.6661554375,-2.530800148,-9.8233915787,-6.4910807038,1054
38.4878055276,0.98,33.0168,-8.0653166859,-1.656535977,-2.5543904844,-9.721852663,-6.4087807089,1065
38.158338191,0.98,33.0219,-7.9226490637,-1.6733967656,-2.5809722431,-9.5960458293,-6.2492522981,1075
38.4115436409,0.98,33.0222,-7.8782715905,-1.8148054674,-2.5338580148,-9.693077058,-6.0634661231,1085
38.3246155779,0.98,33.027,-7.7611796342,-1.8127873707,-2.5623995694,-9.573967005,-5.9483922635,1096
39.7756661654,0.98,33.0321,-7.7569534952,-1.814430223,-2.5606501212,-9.5713837182,-5.9425232722,1106
39.8392010101,0.98,33.0344,-7.6671787283,-1.8718463297,-2.5521280713,-9.539025058,-5.7953323986,1117
38.7357714646,0.98,33.0397,-7.6585073577,-1.8120119845,-2.5981487105,-9.4705193422,-5.8464953733,1127
40.2725722222,0.98,33.0431,-7.5883923307,-1.9676027743,-2.560923078,-9.555995105,-5.6207895564,1137
39.1103520202,0.99746,33.0485,-7.5702282098,-2.0508838338,-2.547061406,-9.6211120436,-5.5193443759,1148
39.3647310606,0.98,33.0523,-7.5265917323,-2.0629717208,-2.5515988982,-9.5895634531,-5.4636200115,1158
39.1019272727,0.98,33.0551,-7.4710196543,-2.1262221154,-2.5297902731,-9.5972417697,-5.3447975389,1168
40.8823058376,0.99,33.0599,-7.4688677644,-2.1126376884,-2.5369230428,-9.5815054529,-5.356230076,1179
40.7617056122,0.99,33.0624,-7.4038946295,-2.2208784755,-2.5293220526,-9.6247731051,-5.183016154,1189
40.3060941327,0.98,33.0694,-7.3515181831,-2.0646685219,-2.5957092799,-9.416186705,-5.2868496612,1199
39.394628934,0.99,33.0756,-7.2737530937,-2.2002975972,-2.5658717057,-9.4740506909,-5.0734554965,1210
39.7308397959,0.99,33.0804,-7.218896174,-2.305695434,-2.5397884043,-9.524591608,-4.91320074,1220
39.3702913265,0.99,33.0829,-7.1978777023,-2.2939729111,-2.5440115517,-9.4918506133,-4.9039047912,1230
40.8927817949,1,33.085,-7.1873923388,-2.2467651271,-2.5609498033,-9.4341574659,-4.9406272118,1241
40.6324938462,1,33.0855,-7.1395813597,-2.4389122888,-2.5108372328,-9.5784936485,-4.7006690709,1251
40.6333605128,1,33.0865,-7.1487065854,-2.3457159942,-2.5315392908,-9.4944225796,-4.8029905912,1261
39.6924479592,1,33.0891,-7.1215924699,-2.3970535523,-2.520523663,-9.5186460222,-4.7245389175,1272
39.5026173469,1,33.0912,-7.0534938285,-2.4168855326,-2.5349636332,-9.4703793611,-4.6366082959,1282
40.6994412821,1,33.0958,-7.0354761149,-2.3941161124,-2.5244375637,-9.4295922272,-4.6413600025,1293
41.7489778351,0.99,33.1031,-7.0914307672,-2.4578152124,-2.5061306108,-9.5492459796,-4.6336155548,1303
40.2038317949,0.99,33.1097,-7.013154346,-2.3999772009,-2.5303881905,-9.4131315469,-4.6131771451,1313
39.7257645078,0.99,33.1168,-7.0185887604,-2.3326027302,-2.5469293163,-9.3511914906,-4.6859860302,1324
39.8432692308,0.99,33.1232,-7.0376804501,-2.4740470468,-2.48272431,-9.5117274968,-4.5636334033,1334
38.5603381443,0.99,33.1294,-7.0229784209,-2.4286154945,-2.5023980192,-9.4515939154,-4.5943629264,1344
42.3023624352,0.99,33.1355,-7.0557540103,-2.3241629963,-2.5422659446,-9.3799170066,-4.7315910141,1355
39.7480076923,0.9821997982,33.1434,-7.025924376,-2.4283517551,-2.505514542,-9.4542761311,-4.597572621,1365
41.9972813472,1,33.1502,-6.9743228026,-2.3605888508,-2.5422579395,-9.3349116534,-4.6137339518,1375
41.2419370466,0.99,33.156,-6.983017149,-2.3471426149,-2.5578234347,-9.330159764,-4.6358745341,1386
39.7294225131,0.99,33.1602,-7.0453385284,-2.3571344098,-2.5235589304,-9.4024729382,-4.6882041186,1396
40.8594085938,0.99,33.1634,-7.0236632594,-2.3066250048,-2.5531870749,-9.3302882642,-4.7170382546,1406
39.8609020619,0.99,33.1697,-7.0457746628,-2.396307591,-2.5124210451,-9.4420822537,-4.6494670718,1417
41.5154134715,0.98,33.1767,-7.0140297072,-2.3598308979,-2.528095851,-9.3738606051,-4.6541988093,1427
40.9252356021,0.99,33.1876,-6.9684013704,-2.3846356839,-2.5307666713,-9.3530370542,-4.5837656865,1438
40.657721466,0.98,33.1981,-6.9457133096,-2.3606261954,-2.539922919,-9.306339505,-4.5850871143,1448
41.2895518135,0.98,33.2019,-6.9893565815,-2.320524088,-2.5199090256,-9.3098806695,-4.6688324935,1458
39.6963628272,0.98,33.211,-6.9395605547,-2.3640344281,-2.5439382321,-9.3035949828,-4.5755261267,1469
39.4353046632,0.98,33.22,-6.9468978825,-2.3552182438,-2.5339309681,-9.3021161263,-4.5916796387,1479
39.8362706806,0.98,33.2254,-6.8364389514,-2.4624851264,-2.5264959657,-9.2989240778,-4.3739538249,1489
41.4452036649,0.98,33.2315,-6.8059503119,-2.5749065805,-2.5021776673,-9.3808568923,-4.2310437314,1500
40.5113671875,0.98,33.2326,-6.758664532,-2.5206057359,-2.5047329357,-9.2792702679,-4.2380587961,1510
42.2415782723,0.97,33.236,-6.6991388683,-2.623427046,-2.5094071352,-9.3225659143,-4.0757118224,1520
39.3129505236,0.98,33.2392,-6.6809245801,-2.6163701871,-2.5215274287,-9.2972947672,-4.0645543929,1531
39.7139973958,0.96221,33.248,-6.7326653491,-2.5782580578,-2.5113217179,-9.3109234069,-4.1544072913,1541
42.4621168421,0.9977922078,33.2587,-6.6732963479,-2.6656332692,-2.4902321464,-9.3389296171,-4.0076630787,1552
41.8980094241,0.98,33.266,-6.6124764207,-2.757885484,-2.4848199435,-9.3703619046,-3.8545909367,1562
43.2446124339,0.98,33.2728,-6.9040859497,-2.8881726781,-2.3204369518,-9.7922586277,-4.0159132716,1572
39.7982594241,0.98,33.2788,-6.6825084059,-2.6652269925,-2.4949358287,-9.3477353984,-4.0172814135,1583
39.1495274869,0.98,33.288,-6.618862919,-2.5454627485,-2.5632747232,-9.1643256675,-4.0734001705,1593
40.7307442105,0.97,33.2959,-6.7256219635,-2.541365734,-2.514508371,-9.2669876975,-4.1842562294,1603
40.7009571429,0.98,33.3038,-6.6269974926,-2.6009215122,-2.5198490799,-9.2279190048,-4.0260759804,1614
43.2335529412,0.98,33.3092,-6.6432828702,-2.6153995238,-2.5020678422,-9.2586823939,-4.0278833464,1624
40.9212532982,0.98,33.3142,-6.6642981257,-2.5766294655,-2.4997924407,-9.2409275912,-4.0876686602,1634
39.4297768421,0.9878721279,33.3263,-6.6284021855,-2.6271820125,-2.4696929757,-9.255584198,-4.0012201731,1645
41.8896380952,0.97,33.3338,-6.6061824417,-2.5767214403,-2.5014727584,-9.1829038821,-4.0294610014,1655
40.6562679144,0.98,33.3415,-6.5464612503,-2.7135562947,-2.4539136649,-9.260017545,-3.8329049556,1666
44.0766804233,0.98,33.3486,-6.5573232428,-2.6471537261,-2.4613972006,-9.2044769689,-3.9101695167,1676
40.5860411765,0.98,33.3539,-6.5200284843,-2.6282766605,-2.4623759608,-9.1483051448,-3.8917518239,1686
40.8817287234,0.98,33.3628,-6.4548864952,-2.691010515,-2.4567850066,-9.1458970103,-3.7638759802,1697
41.9487326203,0.98,33.3699,-6.4494432066,-2.5942410097,-2.5061098125,-9.0436842163,-3.8552021969,1707
39.9634005319,0.97,33.3752,-6.4696222052,-2.6060540165,-2.4817267817,-9.0756762218,-3.8635681887,1717
40.4883784946,0.98,33.3774,-6.46394311,-2.6756451475,-2.451768598,-9.1395882575,-3.7882979626,1728
40.9745975936,0.96204,33.3802,-6.4301034636,-2.5921822052,-2.5008579247,-9.0222856688,-3.8379212583,1738
41.2647058824,0.98,33.3816,-6.4391641543,-2.5811710986,-2.4781135637,-9.0203352529,-3.8579930557,1748
42.205011828,0.99,33.3876,-6.3593217139,-2.6751794063,-2.4505148312,-9.0345011203,-3.6841423076,1759
42.2916195652,0.99,33.3978,-6.3156197393,-2.6659566001,-2.4466456719,-8.9815763394,-3.6496631393,1769
39.9238756757,0.99,33.4041,-6.2933383091,-2.6513290406,-2.4708863853,-8.9446673496,-3.6420092685,1780
40.7145778378,0.99,33.4136,-6.3046824994,-2.6929757208,-2.4270036595,-8.9976582201,-3.6117067786,1790
39.3331069705,0.99,33.4177,-6.2633225394,-2.6951389754,-2.4574184872,-8.9584615148,-3.5681835641,1800
41.9606535135,0.98,33.424,-6.2452388674,-2.7714561204,-2.397596528,-9.0166949878,-3.473782747,1811
44.0429324324,0.99,33.4346,-6.2072845887,-2.6401407952,-2.4703635331,-8.8474253839,-3.5671437935,1821
42.2448027027,0.99,33.4402,-6.2405358524,-2.6420724241,-2.4359459713,-8.8826082765,-3.5984634284,1831
40.9030610811,0.99,33.4469,-6.0871709084,-2.7668286007,-2.435898907,-8.8539995091,-3.3203423076,1842
41.2532116848,0.99,33.451,-6.0870295566,-2.7977930014,-2.4163455118,-8.884822558,-3.2892365552,1852
40.4764939891,0.98,33.4532,-6.1058405761,-2.8248415617,-2.3908318029,-8.9306821379,-3.2809990144,1862
44.7480353261,0.99,33.4573,-6.0924871085,-2.8352123431,-2.3986102483,-8.9276994516,-3.2572747654,1873
42.3470896739,0.99,33.4632,-6.0715717562,-2.9044599641,-2.3562418146,-8.9760317203,-3.1671117921,1883
40.8389827957,0.99,33.4713,-6.0342160826,-2.8854338958,-2.3786273313,-8.9196499783,-3.1487821868,1894
41.7261521505,0.99,33.4769,-6.0023675768,-2.9418573399,-2.3775669162,-8.9442249167,-3.0605102368,1904
40.2167448649,0.99,33.4879,-5.9103984649,-3.02342054,-2.3636237159,-8.9338190049,-2.8869779248,1914
45.3412119565,0.99,33.4919,-5.8245055433,-3.0520873984,-2.3722412407,-8.8765929417,-2.7724181449,1925
42.6827214674,0.99,33.4961,-5.7803593758,-3.0872990137,-2.3697455139,-8.8676583894,-2.6930603621,1935
43.7889090164,0.99,33.5032,-5.831221506,-3.1947603564,-2.3324773187,-9.0259818624,-2.6364611496,1945
42.3931437838,1,33.5093,-5.5392111251,-3.1535623993,-2.3647076814,-8.6927735245,-2.3856487258,1956
40.8614696721,1,33.516,-4.3880161701,-2.7879629124,-2.5950810736,-7.1759790825,-1.6000532577,1966
43.43805,1,33.521,-4.8205227688,-2.4507990813,-2.676733782,-7.2713218501,-2.3697236875,1977
42.3813610811,1,33.5227,-7.5843324932,0.2020358662,-2.8358548002,-7.3822966271,-7.7863683594,1987
42.3462304688,1,33.5251,-6.7493120806,-0.1413651834,-2.5237239058,-6.890677264,-6.6079468972,1997
41.2271265625,0.84181,33.5256,-5.2257581051,-1.7728191606,-2.4013533686,-6.9985772657,-3.4529389444,2008
