P_a,SaO2sup,temp,DHbO2,DHHb,CCO,DHbT,DHbdiff,t
47.6892390374,0.98,33.6784,-2.1058328391,-6.2208771968,-1.7521971511,-8.3267100359,4.1150443578,11636
48.5017673797,0.98,33.6731,-2.1197138609,-6.0988076646,-1.8014217944,-8.2185215255,3.9790938037,11646
50.0778275401,0.98,33.6686,-2.1774571937,-6.1892756986,-1.7661891573,-8.3667328924,4.0118185049,11657
47.3444414894,0.98,33.6618,-2.2279166249,-6.0565691081,-1.8183810618,-8.284485733,3.8286524832,11667
47.5801297872,0.98,33.6464,-2.2050965352,-6.0657591831,-1.8446030968,-8.2708557183,3.860662648,11678
48.1165179894,0.98,33.6378,-2.3164046562,-6.0652728422,-1.8145256843,-8.3816774984,3.748868186,11688
50.9526390625,0.98,33.6303,-2.3189969299,-6.0999088787,-1.8398842461,-8.4189058086,3.7809119488,11699
45.5546728947,0.98,33.6161,-2.3540910056,-5.960959658,-1.90653174,-8.3150506636,3.6068686524,11709
46.1513631579,0.98,33.6055,-2.4104872706,-5.9393251036,-1.9107148241,-8.3498123742,3.528837833,11719
47.7044536649,0.98,33.5979,-2.4676419416,-5.9292227721,-1.9180018874,-8.3968647137,3.4615808304,11730
47.9161544737,0.98,33.5882,-2.5385748832,-6.0088691356,-1.8959322412,-8.5474440188,3.4702942524,11740
44.8143751309,0.98,33.5746,-2.5349197792,-5.9071067676,-1.9766879974,-8.4420265468,3.3721869884,11751
46.8838342105,0.98,33.5668,-2.68333729,-5.9875406135,-1.913381196,-8.6708779034,3.3042033235,11761
47.3852203125,0.98,33.5596,-2.7599506057,-5.8741802289,-1.9576023646,-8.6341308346,3.1142296232,11771
51.5247513089,0.98,33.5507,-2.8114459622,-5.8317283738,-1.9953217408,-8.643174336,3.0202824116,11782
44.9103968421,0.98,33.5394,-2.8558599935,-5.798200431,-2.0114717842,-8.6540604245,2.9423404375,11792
46.8581125,0.98,33.5288,-2.9534121196,-5.7678104649,-2.0040920223,-8.7212225845,2.8143983452,11803
47.1783578947,0.98,33.5253,-2.9556688367,-5.771048962,-2.0495965539,-8.7267177987,2.8153801253,11813
45.518678534,0.98,33.5209,-2.995440037,-5.7665336122,-2.0588749651,-8.7619736493,2.7710935752,11824
44.5340958549,0.98,33.509,-3.0621596581,-5.7317487651,-2.0724778902,-8.7939084233,2.669589107,11834
46.20068125,0.98,33.4983,-3.1093562936,-5.7544987118,-2.0613585321,-8.8638550054,2.6451424183,11844
46.8230463731,0.98,33.4889,-3.1160738573,-5.7183715016,-2.1156928249,-8.8344453589,2.6022976443,11855
49.0528851852,0.98,33.4772,-3.264703211,-5.6543654,-2.1074132149,-8.919068611,2.389662189,11865
45.0359870466,0.98,33.4635,-3.2879022995,-5.6138975832,-2.1456627774,-8.9017998827,2.3259952836,11876
46.4325963351,0.98,33.4552,-3.3914217345,-5.520056401,-2.1616011353,-8.9114781355,2.1286346664,11886
48.1775730366,0.98,33.4515,-3.3293270485,-5.533565286,-2.1680885757,-8.8628923346,2.2042382375,11897
47.447742487,0.98,33.4461,-3.4856996658,-5.5138033363,-2.1893290278,-8.9995030021,2.0281036705,11907
43.2316904145,0.98,33.4349,-3.5894844486,-5.523274936,-2.1594377382,-9.1127593846,1.9337904875,11917
46.4607015625,0.98,33.4236,-3.5736590378,-5.5505602742,-2.2008628906,-9.124219312,1.9769012365,11928
46.4488832461,0.98,33.4153,-3.6519971246,-5.4909255805,-2.2104748154,-9.142922705,1.8389284559,11938
43.8091557292,0.98,33.405,-3.6829504705,-5.5236963212,-2.2080028376,-9.2066467917,1.8407458506,11949
44.3042437173,0.98,33.3901,-3.8511079699,-5.3968515877,-2.2458834444,-9.2479595577,1.5457436178,11959
45.9772362694,0.98,33.3834,-3.7385266927,-5.3666529636,-2.2830888071,-9.1051796562,1.6281262709,11969
45.8581054974,0.98,33.3789,-3.8030064084,-5.3607890637,-2.2739770157,-9.1637954721,1.5577826554,11980
49.3681082687,0.98,33.377,-3.9367833611,-5.4520240718,-2.2410673289,-9.3888074329,1.5152407107,11990
45.443975,0.98,33.3721,-3.8984947763,-5.3961448398,-2.2956809333,-9.2946396161,1.4976500635,12001
46.4299640625,0.98,33.3597,-3.9201270604,-5.2978586188,-2.3220012544,-9.2179856792,1.3777315585,12011
48.7544605263,0.98,33.3513,-4.0387071225,-5.2968833837,-2.3276898428,-9.3355905062,1.2581762612,12022
45.7876923077,0.98,33.344,-4.1266380623,-5.4304849339,-2.2676461004,-9.5571229962,1.3038468715,12032
46.0152884817,0.98,33.3361,-4.1401529571,-5.2624118988,-2.3307241432,-9.4025648559,1.1222589417,12043
46.1441331579,0.98,33.324,-4.1223151812,-5.2939542145,-2.3245410691,-9.4162693958,1.1716390333,12053
45.0465823834,0.98,33.3134,-4.2385205068,-5.2717463274,-2.3213483406,-9.5102668342,1.0332258206,12063
43.085875,0.98,33.3074,-4.2051160985,-5.2725996041,-2.3514240282,-9.4777157026,1.0674835056,12074
