t,DHbO2,DHHb,CCO,DHbT,DHbdiff,CBF,SaO2sup,P_a,temp
0.0,0.5080505400306095,-1.2186112422288762,0.04779783821520265,-0.710560702198265,1.7266617822594856,0.007659939800888199,1.0,47.8078421875,38.39017313111534
10.0,0.5302331730838574,-1.2396377430141818,0.04796874038794626,-0.709404569930328,1.7698709160980393,0.007679723730610278,1.0,48.1702291187739,38.39100349282715
20.0,0.2863475329484544,-1.055560545573634,0.047315509275605204,-0.7692130126251797,1.3419080785220885,0.0075043199738825716,1.0,45.35079296875,38.39181470914317
30.0,0.9616871783940617,-1.3638879527787413,0.04862904476793629,-0.4022007743846814,2.325575131172803,0.007800563846078539,1.0,48.6269636363636,38.392592169691966
41.0,0.5686617228615809,-1.3771248061949528,0.04875962279299585,-0.8084630833333719,1.9457865290565337,0.007814019147097716,1.0,51.4428905511811,38.39332370812901
51.0,-0.11058220144948905,-1.0727263008022376,0.047620791131103485,-1.1833085022517267,0.9621440993527486,0.007519635761820886,1.0,47.9531417322835,38.394000664159925
61.0,0.4773783289955098,-1.2573718390026496,0.04843732243833568,-0.7799935100071451,1.7347501679981594,0.007694554212944857,1.0,48.87369296875,38.39461859960932
71.0,0.6521120913799479,-1.4214157005532453,0.04914878733874685,-0.7693036091732992,2.073527791933193,0.007857667992151337,1.0,52.0933571428572,38.39517760605393
81.0,-0.12958322080233486,-1.09818425301013,0.047933401334420325,-1.2277674738124702,0.9686010322077951,0.007542075174721995,1.0,48.6549102362205,38.395682195628986
91.0,0.3498749355975548,-1.2112254057367053,0.048456026802619345,-0.8613504701391506,1.5611003413342601,0.007648445914515487,1.0,48.4813948412698,38.39614081631151
102.0,0.38835231656818436,-1.121064419515255,0.04816751841189122,-0.7327121029470689,1.5094167360834394,0.007561463046787596,1.0,46.150925,38.39656507092138
112.0,0.9546353107418923,-1.422996159481949,0.049425604145759014,-0.4683608487400548,2.3776314702238412,0.00785568298087322,1.0,50.0877277777778,38.39696874096769
122.0,0.6405151511130533,-1.4649273300494983,0.0496399611573414,-0.8244121789364414,2.1054424811625516,0.007899598061492707,1.0,53.3814790322581,38.397366721296045
132.0,-0.491354599115688,-0.9294782296912167,0.04756395648688992,-1.4208328288069083,0.4381236305755287,0.007384826445073123,1.0,46.8115352,38.39777396197803
142.0,0.7717265889354294,-1.4062556083162647,0.0495396004684424,-0.6345290193808353,2.177982197251694,0.007837799027875458,1.0,50.7877616,38.39820449593156
152.0,0.38025698002141795,-1.3508297192513705,0.0493792521988808,-0.9705727392299508,1.7310866992727885,0.007782278396017993,1.0,51.8711540322581,38.39867061080873
163.0,0.04664024332440064,-1.2119551320771293,0.048896007203555095,-1.1653148887527252,1.25859537540153,0.007645793847178863,1.0,50.3301698412698,38.39918220557236
173.0,0.09148820703734728,-1.1434704310535082,0.0486859842595722,-1.0519822240161574,1.2349586380908555,0.007579826468543488,1.0,48.315419047619,38.39974635626887
183.0,0.431173813633869,-1.2132169186091417,0.04903064287433712,-0.7820431049752798,1.6443907322430107,0.0076454137589138035,1.0,47.9540216,38.400367100342855
193.0,0.6610165265088455,-1.3526397366751652,0.04964465238935372,-0.6916232101663127,2.0136562631840107,0.007781246946251575,1.0,50.019904,38.40104543332753
203.0,0.19930838255228522,-1.1621398280091526,0.048953197011146116,-0.9628314454568638,1.3614482105614378,0.007595694697279133,1.0,48.084672,38.4017794961847
213.0,0.4811998714681849,-1.243826729266683,0.04934439218473956,-0.7626268577984874,1.7250266007348678,0.00767345301225917,1.0,48.3668888888889,38.40256491751294
224.0,0.4922053229838319,-1.2766527708775506,0.04954254835668468,-0.7844474478937258,1.7688580938613825,0.007704939409359525,1.0,49.1012496062992,38.403395264497036
234.0,0.9089793608681305,-1.577993142210568,0.05076462514351522,-0.6690137813424357,2.4869725030786984,0.00801326156047052,1.0,54.7859744,38.40426255194436
244.0,-0.637818747372382,-0.9263723617519943,0.04825108761179252,-1.5641911091243728,0.28855361437961236,0.007377866667159822,1.0,47.5231685483871,38.405157761154335
254.0,0.5298071896704215,-1.289060102998338,0.049782619863322455,-0.75925291332792,1.8188672926687595,0.007716723875493639,1.0,49.1753188,38.406071329008796
264.0,0.9111201910927633,-1.573117247524067,0.050937902265317074,-0.6619970564313036,2.48423743861683,0.008007257310399984,1.0,54.598096,38.40699358013856
274.0,-0.6425260543187044,-0.8869916793141428,0.04827936948024499,-1.5295177336328436,0.24446562499543845,0.007342046764512127,1.0,46.6439152,38.40791508821419
285.0,0.6564348080626701,-1.3297989023856047,0.0501354046489578,-0.6733640943229346,1.9862337104482748,0.007755826351232518,1.0,49.4070153225806,38.40882696380341
295.0,0.11190570582335724,-0.9977903840845634,0.04887216493322856,-0.8858846782612062,1.1096960899079207,0.007439527792851627,1.0,44.852304,38.40972107460784
305.0,1.0572658185676111,-1.389830804843461,0.050495294309835695,-0.3325649862758482,2.4470966234110723,0.00781410886463054,1.0,48.4710158730159,38.410590209252184
315.0,0.6073414252798273,-1.3296971148969519,0.05031514773164791,-0.7223556896171246,1.9370385401767791,0.007754091468001452,1.0,49.676612195122,38.41142819865973
325.0,0.017529862065138957,-0.9840499726211434,0.048990203722066764,-0.9665201105560044,1.0015798346862823,0.007426002673859571,1.0,45.0425388,38.412230009459186
335.0,1.0523330825977553,-1.4374483824037299,0.05084827067462097,-0.3851152998059675,2.489781465001485,0.007861313332017773,1.0,49.6818648,38.412991821214106
346.0,0.3414354557893624,-1.233090270935966,0.05010068757079425,-0.8916548151465946,1.5745257267253283,0.007658895376159253,1.0,48.865268,38.41371109325975
356.0,0.4108455283736525,-1.2735806678453017,0.050311349845427,-0.8627351394716456,1.6844261962189542,0.0076980796125690224,1.0,49.4505350806452,38.41438661871712
366.0,0.3270459180432006,-1.249965964809757,0.05026709380471425,-0.9229200467665564,1.5770118828529576,0.007674990985521018,1.0,49.3714463414634,38.415018555179024
376.0,0.454712744132145,-1.3433253724122576,0.0506811671533057,-0.8886126282801072,1.7980381165444026,0.007766595546115966,1.0,50.9938487903226,38.41560841599086
