t,DHbO2,DHHb,CCO,DHbT,DHbdiff,CBF,SaO2sup,P_a,temp
0.0,0.9143899455447304,-0.9436356581700878,0.06406221476972286,-0.029245712625353804,1.8580256037148182,0.007470611963400475,1.0,41.3057996551724,38.94835509222494
11.0,1.283681537290466,-1.194569091773996,0.0652022468590987,0.08911244551647002,2.478250629064462,0.007709718835999901,1.0,44.416595890411,38.948506725527
21.0,0.3865546097483943,-0.8032270864539051,0.0636490238918928,-0.4166724767055072,1.1897816962022993,0.007342439817654613,1.0,41.0951068493151,38.94865401934331
31.0,0.8383931244280838,-0.916462421576913,0.06422908116437807,-0.07806929714883637,1.7548555460049968,0.007442500055191099,1.0,41.1060945945946,38.948813150522916
41.0,0.9682435840343295,-0.964661782987406,0.06452116693899138,0.0035818010469199635,1.9329053670217355,0.007485885608800909,1.0,41.3875845890411,38.949000210233045
52.0,0.8580047363598524,-0.9146754061753946,0.064408009223258,-0.05667066981554569,1.772680142535247,0.007438432292925712,1.0,40.9572496575342,38.94922910327689
62.0,1.4191585615663875,-1.2175415617608962,0.06574858774774628,0.20161699980549486,2.6367001233272838,0.007726670914745671,1.0,44.144277739726,38.949509527704485
72.0,0.40924987553279024,-0.7987373027447155,0.06408158137290512,-0.3894874272119324,1.2079871782775058,0.007333218571077539,1.0,40.8440959459459,38.94984515208087
82.0,0.8560322075259847,-0.9160884738879922,0.064674476391584,-0.060056266362011,1.772120681413977,0.007437159156666622,1.0,40.9531904761905,38.950232071933755
92.0,1.0102032002900643,-0.9817143082019761,0.06503552882831694,0.02848889208809169,1.9919175084920404,0.007497077642405331,1.0,41.4438695945946,38.95065759743439
103.0,0.8115866592097625,-0.8933980071768133,0.06475833268690934,-0.08181134796704725,1.7049846663865758,0.0074144100569578765,1.0,40.71865,38.95109940674947
113.0,1.4460071338070613,-1.2215954453638709,0.06619811199240185,0.22441168844319037,2.667602579170932,0.007726076612018623,1.0,44.0262708333333,38.951525095675215
123.0,0.4011257041452687,-0.7905286724305256,0.0644757339868765,-0.38940296828526044,1.1916543765757943,0.00732162825618692,1.0,40.6758285714286,38.95189216133286
133.0,0.8313647987625501,-0.8988425715204968,0.06501947233282965,-0.06747777275793965,1.730207370283047,0.007416987201923341,1.0,40.6957917241379,38.95214846793211
